node_id,latitude,longitude
0,44.053691,-92.45213
1,39.306807,-76.570332
2,37.478901,-122.100272
3,42.390748,-71.076405
4,34.073028,-118.263188
5,51.515414,-0.127367
6,48.88062,2.343312
7,35.715126,139.676656
8,1.379008,103.829837
9,-33.883821,151.23386
10,44.030249,-92.474863
11,39.262427,-76.600786
12,37.42449,-122.162379
13,42.366628,-71.049492
14,34.010159,-118.258044
15,51.515098,-0.151974
16,48.81281,2.374074
17,35.697946,139.607089
18,1.32365,103.8495
19,-33.85102,151.162907
