node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,national,HIPAA_compliant,radiology,1992,private,mayo_clinic,tier1_hospital,2325
1,local,SOC2,oncology,1965,private,johns_hopkins,tier2_hospital,205
2,international,SOC2,cardiology,2007,mixed,stanford_med,research_center,3390
3,regional,SOC2,neurology,2014,mixed,mass_general,mobile_unit,1576
4,regional,FedRAMP,pathology,1986,public,ucla_health,edge_device,2638
5,regional,SOC2,radiology,1992,public,mayo_clinic,tier1_hospital,231
6,regional,SOC2,oncology,1970,research_grant,johns_hopkins,tier2_hospital,4062
7,national,FedRAMP,cardiology,1962,mixed,stanford_med,research_center,1072
8,national,ISO27001,neurology,1978,mixed,mass_general,mobile_unit,3619
9,local,ISO27001,pathology,1994,public,ucla_health,edge_device,2185
10,national,FedRAMP,radiology,1978,mixed,mayo_clinic,tier1_hospital,4225
11,regional,ISO27001,oncology,1993,research_grant,johns_hopkins,tier2_hospital,1910
12,national,HIPAA_compliant,cardiology,1979,mixed,stanford_med,research_center,4519
13,national,SOC2,neurology,2010,mixed,mass_general,mobile_unit,268
14,local,FedRAMP,pathology,1989,research_grant,ucla_health,edge_device,3890
