node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,128,local,8,128,tier1_hospital,0.957,critical,10000
1,clinic_001,1000,tier_2,16,HIPAA,2,64,tier2_hospital,0.957,critical,20000
2,research_center_002,10000,tier_3,128,PIPEDA,32,256,research_center,0.983,high,20000
3,mobile_unit_003,1000,tier_1,8,GDPR,2,32,mobile_unit,0.822,high,5000
4,edge_device_004,100,tier_2,2,GDPR,1,8,edge_device,0.776,high,2000
5,hospital_005,5000,tier_1,32,local,8,512,tier1_hospital,0.978,standard,20000
6,clinic_006,5000,tier_2,32,PIPEDA,4,256,tier2_hospital,0.979,high,5000
7,research_center_007,5000,tier_3,128,GDPR,16,1024,research_center,0.985,standard,50000
8,mobile_unit_008,1000,tier_1,8,GDPR,1,64,mobile_unit,0.892,standard,1000
9,edge_device_009,500,tier_2,4,HIPAA,0,8,edge_device,0.716,standard,500
