param_summary,round_num,source_node,target_node,timestamp,transfer_type
"{'norm': 3.185567617416382, 'mean': -0.00230197561904788, 'std': 0.18769726157188416}",1,0,1,1749394680.3698528,parameter_transfer
"{'norm': 3.185567617416382, 'mean': -0.00230197561904788, 'std': 0.18769726157188416}",1,0,2,1749394680.3698528,parameter_transfer
"{'norm': 3.185567617416382, 'mean': -0.00230197561904788, 'std': 0.18769726157188416}",1,0,3,1749394680.3698528,parameter_transfer
"{'norm': 3.185567617416382, 'mean': -0.00230197561904788, 'std': 0.18769726157188416}",1,0,4,1749394680.3698528,parameter_transfer
"{'norm': 3.185567617416382, 'mean': -0.00230197561904788, 'std': 0.18769726157188416}",1,0,5,1749394680.3698528,parameter_transfer
"{'norm': 3.185567617416382, 'mean': -0.00230197561904788, 'std': 0.18769726157188416}",1,0,6,1749394680.3698528,parameter_transfer
"{'norm': 3.185567617416382, 'mean': -0.00230197561904788, 'std': 0.18769726157188416}",1,0,7,1749394680.3698528,parameter_transfer
"{'norm': 3.185567617416382, 'mean': -0.00230197561904788, 'std': 0.18769726157188416}",1,0,8,1749394680.3698528,parameter_transfer
"{'norm': 3.185567617416382, 'mean': -0.00230197561904788, 'std': 0.18769726157188416}",1,0,9,1749394680.3698528,parameter_transfer
"{'norm': 3.185567617416382, 'mean': -0.00230197561904788, 'std': 0.18769726157188416}",1,0,10,1749394680.3698528,parameter_transfer
"{'norm': 3.185567617416382, 'mean': -0.00230197561904788, 'std': 0.18769726157188416}",1,0,11,1749394680.3698528,parameter_transfer
"{'norm': 3.185567617416382, 'mean': -0.00230197561904788, 'std': 0.18769726157188416}",1,0,12,1749394680.3698528,parameter_transfer
"{'norm': 3.185567617416382, 'mean': -0.00230197561904788, 'std': 0.18769726157188416}",1,0,13,1749394680.3698528,parameter_transfer
"{'norm': 3.185567617416382, 'mean': -0.00230197561904788, 'std': 0.18769726157188416}",1,0,14,1749394680.3698528,parameter_transfer
"{'norm': 3.1890015602111816, 'mean': -0.0013192006153985858, 'std': 0.1879090964794159}",1,1,0,1749394680.3699315,parameter_transfer
"{'norm': 3.1890015602111816, 'mean': -0.0013192006153985858, 'std': 0.1879090964794159}",1,1,2,1749394680.3699315,parameter_transfer
"{'norm': 3.1890015602111816, 'mean': -0.0013192006153985858, 'std': 0.1879090964794159}",1,1,3,1749394680.3699315,parameter_transfer
"{'norm': 3.1890015602111816, 'mean': -0.0013192006153985858, 'std': 0.1879090964794159}",1,1,4,1749394680.3699315,parameter_transfer
"{'norm': 3.1890015602111816, 'mean': -0.0013192006153985858, 'std': 0.1879090964794159}",1,1,5,1749394680.3699315,parameter_transfer
"{'norm': 3.1890015602111816, 'mean': -0.0013192006153985858, 'std': 0.1879090964794159}",1,1,6,1749394680.3699315,parameter_transfer
"{'norm': 3.1890015602111816, 'mean': -0.0013192006153985858, 'std': 0.1879090964794159}",1,1,7,1749394680.3699315,parameter_transfer
"{'norm': 3.1890015602111816, 'mean': -0.0013192006153985858, 'std': 0.1879090964794159}",1,1,8,1749394680.3699315,parameter_transfer
"{'norm': 3.1890015602111816, 'mean': -0.0013192006153985858, 'std': 0.1879090964794159}",1,1,9,1749394680.3699315,parameter_transfer
"{'norm': 3.1890015602111816, 'mean': -0.0013192006153985858, 'std': 0.1879090964794159}",1,1,10,1749394680.3699315,parameter_transfer
"{'norm': 3.1890015602111816, 'mean': -0.0013192006153985858, 'std': 0.1879090964794159}",1,1,11,1749394680.3699315,parameter_transfer
"{'norm': 3.1890015602111816, 'mean': -0.0013192006153985858, 'std': 0.1879090964794159}",1,1,12,1749394680.3699315,parameter_transfer
"{'norm': 3.1890015602111816, 'mean': -0.0013192006153985858, 'std': 0.1879090964794159}",1,1,13,1749394680.3699315,parameter_transfer
"{'norm': 3.1890015602111816, 'mean': -0.0013192006153985858, 'std': 0.1879090964794159}",1,1,14,1749394680.3699315,parameter_transfer
"{'norm': 3.1863527297973633, 'mean': -0.0021108214277774096, 'std': 0.18774576485157013}",1,2,0,1749394680.3699822,parameter_transfer
"{'norm': 3.1863527297973633, 'mean': -0.0021108214277774096, 'std': 0.18774576485157013}",1,2,1,1749394680.3699822,parameter_transfer
"{'norm': 3.1863527297973633, 'mean': -0.0021108214277774096, 'std': 0.18774576485157013}",1,2,3,1749394680.3699822,parameter_transfer
"{'norm': 3.1863527297973633, 'mean': -0.0021108214277774096, 'std': 0.18774576485157013}",1,2,4,1749394680.3699822,parameter_transfer
"{'norm': 3.1863527297973633, 'mean': -0.0021108214277774096, 'std': 0.18774576485157013}",1,2,5,1749394680.3699822,parameter_transfer
"{'norm': 3.1863527297973633, 'mean': -0.0021108214277774096, 'std': 0.18774576485157013}",1,2,6,1749394680.3699822,parameter_transfer
"{'norm': 3.1863527297973633, 'mean': -0.0021108214277774096, 'std': 0.18774576485157013}",1,2,7,1749394680.3699822,parameter_transfer
"{'norm': 3.1863527297973633, 'mean': -0.0021108214277774096, 'std': 0.18774576485157013}",1,2,8,1749394680.3699822,parameter_transfer
"{'norm': 3.1863527297973633, 'mean': -0.0021108214277774096, 'std': 0.18774576485157013}",1,2,9,1749394680.3699822,parameter_transfer
"{'norm': 3.1863527297973633, 'mean': -0.0021108214277774096, 'std': 0.18774576485157013}",1,2,10,1749394680.3699822,parameter_transfer
"{'norm': 3.1863527297973633, 'mean': -0.0021108214277774096, 'std': 0.18774576485157013}",1,2,11,1749394680.3699822,parameter_transfer
"{'norm': 3.1863527297973633, 'mean': -0.0021108214277774096, 'std': 0.18774576485157013}",1,2,12,1749394680.3699822,parameter_transfer
"{'norm': 3.1863527297973633, 'mean': -0.0021108214277774096, 'std': 0.18774576485157013}",1,2,13,1749394680.3699822,parameter_transfer
"{'norm': 3.1863527297973633, 'mean': -0.0021108214277774096, 'std': 0.18774576485157013}",1,2,14,1749394680.3699822,parameter_transfer
"{'norm': 3.183908224105835, 'mean': -0.002205616794526577, 'std': 0.18760062754154205}",1,3,0,1749394680.3700278,parameter_transfer
"{'norm': 3.183908224105835, 'mean': -0.002205616794526577, 'std': 0.18760062754154205}",1,3,1,1749394680.3700278,parameter_transfer
"{'norm': 3.183908224105835, 'mean': -0.002205616794526577, 'std': 0.18760062754154205}",1,3,2,1749394680.3700278,parameter_transfer
"{'norm': 3.183908224105835, 'mean': -0.002205616794526577, 'std': 0.18760062754154205}",1,3,4,1749394680.3700278,parameter_transfer
"{'norm': 3.183908224105835, 'mean': -0.002205616794526577, 'std': 0.18760062754154205}",1,3,5,1749394680.3700278,parameter_transfer
"{'norm': 3.183908224105835, 'mean': -0.002205616794526577, 'std': 0.18760062754154205}",1,3,6,1749394680.3700278,parameter_transfer
"{'norm': 3.183908224105835, 'mean': -0.002205616794526577, 'std': 0.18760062754154205}",1,3,7,1749394680.3700278,parameter_transfer
"{'norm': 3.183908224105835, 'mean': -0.002205616794526577, 'std': 0.18760062754154205}",1,3,8,1749394680.3700278,parameter_transfer
"{'norm': 3.183908224105835, 'mean': -0.002205616794526577, 'std': 0.18760062754154205}",1,3,9,1749394680.3700278,parameter_transfer
"{'norm': 3.183908224105835, 'mean': -0.002205616794526577, 'std': 0.18760062754154205}",1,3,10,1749394680.3700278,parameter_transfer
"{'norm': 3.183908224105835, 'mean': -0.002205616794526577, 'std': 0.18760062754154205}",1,3,11,1749394680.3700278,parameter_transfer
"{'norm': 3.183908224105835, 'mean': -0.002205616794526577, 'std': 0.18760062754154205}",1,3,12,1749394680.3700278,parameter_transfer
"{'norm': 3.183908224105835, 'mean': -0.002205616794526577, 'std': 0.18760062754154205}",1,3,13,1749394680.3700278,parameter_transfer
"{'norm': 3.183908224105835, 'mean': -0.002205616794526577, 'std': 0.18760062754154205}",1,3,14,1749394680.3700278,parameter_transfer
"{'norm': 3.186589479446411, 'mean': -0.002548576332628727, 'std': 0.18775427341461182}",1,4,0,1749394680.3700695,parameter_transfer
"{'norm': 3.186589479446411, 'mean': -0.002548576332628727, 'std': 0.18775427341461182}",1,4,1,1749394680.3700695,parameter_transfer
"{'norm': 3.186589479446411, 'mean': -0.002548576332628727, 'std': 0.18775427341461182}",1,4,2,1749394680.3700695,parameter_transfer
"{'norm': 3.186589479446411, 'mean': -0.002548576332628727, 'std': 0.18775427341461182}",1,4,3,1749394680.3700695,parameter_transfer
"{'norm': 3.186589479446411, 'mean': -0.002548576332628727, 'std': 0.18775427341461182}",1,4,5,1749394680.3700695,parameter_transfer
"{'norm': 3.186589479446411, 'mean': -0.002548576332628727, 'std': 0.18775427341461182}",1,4,6,1749394680.3700695,parameter_transfer
"{'norm': 3.186589479446411, 'mean': -0.002548576332628727, 'std': 0.18775427341461182}",1,4,7,1749394680.3700695,parameter_transfer
"{'norm': 3.186589479446411, 'mean': -0.002548576332628727, 'std': 0.18775427341461182}",1,4,8,1749394680.3700695,parameter_transfer
"{'norm': 3.186589479446411, 'mean': -0.002548576332628727, 'std': 0.18775427341461182}",1,4,9,1749394680.3700695,parameter_transfer
"{'norm': 3.186589479446411, 'mean': -0.002548576332628727, 'std': 0.18775427341461182}",1,4,10,1749394680.3700695,parameter_transfer
"{'norm': 3.186589479446411, 'mean': -0.002548576332628727, 'std': 0.18775427341461182}",1,4,11,1749394680.3700695,parameter_transfer
"{'norm': 3.186589479446411, 'mean': -0.002548576332628727, 'std': 0.18775427341461182}",1,4,12,1749394680.3700695,parameter_transfer
"{'norm': 3.186589479446411, 'mean': -0.002548576332628727, 'std': 0.18775427341461182}",1,4,13,1749394680.3700695,parameter_transfer
"{'norm': 3.186589479446411, 'mean': -0.002548576332628727, 'std': 0.18775427341461182}",1,4,14,1749394680.3700695,parameter_transfer
"{'norm': 3.1867032051086426, 'mean': -0.0022873335983604193, 'std': 0.18776434659957886}",1,5,0,1749394680.3701131,parameter_transfer
"{'norm': 3.1867032051086426, 'mean': -0.0022873335983604193, 'std': 0.18776434659957886}",1,5,1,1749394680.3701131,parameter_transfer
"{'norm': 3.1867032051086426, 'mean': -0.0022873335983604193, 'std': 0.18776434659957886}",1,5,2,1749394680.3701131,parameter_transfer
"{'norm': 3.1867032051086426, 'mean': -0.0022873335983604193, 'std': 0.18776434659957886}",1,5,3,1749394680.3701131,parameter_transfer
"{'norm': 3.1867032051086426, 'mean': -0.0022873335983604193, 'std': 0.18776434659957886}",1,5,4,1749394680.3701131,parameter_transfer
"{'norm': 3.1867032051086426, 'mean': -0.0022873335983604193, 'std': 0.18776434659957886}",1,5,6,1749394680.3701131,parameter_transfer
"{'norm': 3.1867032051086426, 'mean': -0.0022873335983604193, 'std': 0.18776434659957886}",1,5,7,1749394680.3701131,parameter_transfer
"{'norm': 3.1867032051086426, 'mean': -0.0022873335983604193, 'std': 0.18776434659957886}",1,5,8,1749394680.3701131,parameter_transfer
"{'norm': 3.1867032051086426, 'mean': -0.0022873335983604193, 'std': 0.18776434659957886}",1,5,9,1749394680.3701131,parameter_transfer
"{'norm': 3.1867032051086426, 'mean': -0.0022873335983604193, 'std': 0.18776434659957886}",1,5,10,1749394680.3701131,parameter_transfer
"{'norm': 3.1867032051086426, 'mean': -0.0022873335983604193, 'std': 0.18776434659957886}",1,5,11,1749394680.3701131,parameter_transfer
"{'norm': 3.1867032051086426, 'mean': -0.0022873335983604193, 'std': 0.18776434659957886}",1,5,12,1749394680.3701131,parameter_transfer
"{'norm': 3.1867032051086426, 'mean': -0.0022873335983604193, 'std': 0.18776434659957886}",1,5,13,1749394680.3701131,parameter_transfer
"{'norm': 3.1867032051086426, 'mean': -0.0022873335983604193, 'std': 0.18776434659957886}",1,5,14,1749394680.3701131,parameter_transfer
"{'norm': 3.1858606338500977, 'mean': -0.0008745624218136072, 'std': 0.18772660195827484}",1,6,0,1749394680.3701565,parameter_transfer
"{'norm': 3.1858606338500977, 'mean': -0.0008745624218136072, 'std': 0.18772660195827484}",1,6,1,1749394680.3701565,parameter_transfer
"{'norm': 3.1858606338500977, 'mean': -0.0008745624218136072, 'std': 0.18772660195827484}",1,6,2,1749394680.3701565,parameter_transfer
"{'norm': 3.1858606338500977, 'mean': -0.0008745624218136072, 'std': 0.18772660195827484}",1,6,3,1749394680.3701565,parameter_transfer
"{'norm': 3.1858606338500977, 'mean': -0.0008745624218136072, 'std': 0.18772660195827484}",1,6,4,1749394680.3701565,parameter_transfer
"{'norm': 3.1858606338500977, 'mean': -0.0008745624218136072, 'std': 0.18772660195827484}",1,6,5,1749394680.3701565,parameter_transfer
"{'norm': 3.1858606338500977, 'mean': -0.0008745624218136072, 'std': 0.18772660195827484}",1,6,7,1749394680.3701565,parameter_transfer
"{'norm': 3.1858606338500977, 'mean': -0.0008745624218136072, 'std': 0.18772660195827484}",1,6,8,1749394680.3701565,parameter_transfer
"{'norm': 3.1858606338500977, 'mean': -0.0008745624218136072, 'std': 0.18772660195827484}",1,6,9,1749394680.3701565,parameter_transfer
"{'norm': 3.1858606338500977, 'mean': -0.0008745624218136072, 'std': 0.18772660195827484}",1,6,10,1749394680.3701565,parameter_transfer
"{'norm': 3.1858606338500977, 'mean': -0.0008745624218136072, 'std': 0.18772660195827484}",1,6,11,1749394680.3701565,parameter_transfer
"{'norm': 3.1858606338500977, 'mean': -0.0008745624218136072, 'std': 0.18772660195827484}",1,6,12,1749394680.3701565,parameter_transfer
"{'norm': 3.1858606338500977, 'mean': -0.0008745624218136072, 'std': 0.18772660195827484}",1,6,13,1749394680.3701565,parameter_transfer
"{'norm': 3.1858606338500977, 'mean': -0.0008745624218136072, 'std': 0.18772660195827484}",1,6,14,1749394680.3701565,parameter_transfer
"{'norm': 3.184813976287842, 'mean': -0.0020395766478031874, 'std': 0.18765588104724884}",1,7,0,1749394680.3702018,parameter_transfer
"{'norm': 3.184813976287842, 'mean': -0.0020395766478031874, 'std': 0.18765588104724884}",1,7,1,1749394680.3702018,parameter_transfer
"{'norm': 3.184813976287842, 'mean': -0.0020395766478031874, 'std': 0.18765588104724884}",1,7,2,1749394680.3702018,parameter_transfer
"{'norm': 3.184813976287842, 'mean': -0.0020395766478031874, 'std': 0.18765588104724884}",1,7,3,1749394680.3702018,parameter_transfer
"{'norm': 3.184813976287842, 'mean': -0.0020395766478031874, 'std': 0.18765588104724884}",1,7,4,1749394680.3702018,parameter_transfer
"{'norm': 3.184813976287842, 'mean': -0.0020395766478031874, 'std': 0.18765588104724884}",1,7,5,1749394680.3702018,parameter_transfer
"{'norm': 3.184813976287842, 'mean': -0.0020395766478031874, 'std': 0.18765588104724884}",1,7,6,1749394680.3702018,parameter_transfer
"{'norm': 3.184813976287842, 'mean': -0.0020395766478031874, 'std': 0.18765588104724884}",1,7,8,1749394680.3702018,parameter_transfer
"{'norm': 3.184813976287842, 'mean': -0.0020395766478031874, 'std': 0.18765588104724884}",1,7,9,1749394680.3702018,parameter_transfer
"{'norm': 3.184813976287842, 'mean': -0.0020395766478031874, 'std': 0.18765588104724884}",1,7,10,1749394680.3702018,parameter_transfer
"{'norm': 3.184813976287842, 'mean': -0.0020395766478031874, 'std': 0.18765588104724884}",1,7,11,1749394680.3702018,parameter_transfer
"{'norm': 3.184813976287842, 'mean': -0.0020395766478031874, 'std': 0.18765588104724884}",1,7,12,1749394680.3702018,parameter_transfer
"{'norm': 3.184813976287842, 'mean': -0.0020395766478031874, 'std': 0.18765588104724884}",1,7,13,1749394680.3702018,parameter_transfer
"{'norm': 3.184813976287842, 'mean': -0.0020395766478031874, 'std': 0.18765588104724884}",1,7,14,1749394680.3702018,parameter_transfer
"{'norm': 3.182924509048462, 'mean': -0.00217044516466558, 'std': 0.18754306435585022}",1,8,0,1749394680.3702445,parameter_transfer
"{'norm': 3.182924509048462, 'mean': -0.00217044516466558, 'std': 0.18754306435585022}",1,8,1,1749394680.3702445,parameter_transfer
"{'norm': 3.182924509048462, 'mean': -0.00217044516466558, 'std': 0.18754306435585022}",1,8,2,1749394680.3702445,parameter_transfer
"{'norm': 3.182924509048462, 'mean': -0.00217044516466558, 'std': 0.18754306435585022}",1,8,3,1749394680.3702445,parameter_transfer
