node_id,latitude,longitude
0,43.991255,-92.46148
1,39.325216,-76.574132
2,37.482212,-122.14229
3,42.409646,-71.05753
4,34.063143,-118.268705
5,51.507691,-0.169492
6,48.849432,2.382616
7,35.651009,139.616578
8,1.316679,103.807898
9,-33.911595,151.174029
10,43.998079,-92.456206
11,39.290376,-76.574654
12,37.443455,-122.111321
13,42.364421,-71.054152
14,34.057156,-118.224255
15,51.533804,-0.170825
16,48.812221,2.372378
17,35.725788,139.655537
18,1.389281,103.846248
19,-33.854686,151.186247
