timestamp,round_num,total_clients,sampled_clients,num_sampled_clients,client_sampling_rate,actual_client_rate,data_sampling_rates,total_data_points,sampled_data_points,actual_data_rate
1753383370.5821888,1,10,"[6, 8, 0, 4]",4,0.4,0.4,"{6: 1.0, 8: 1.0, 0: 1.0, 4: 1.0}",,,
1753383403.0393157,2,10,"[4, 1, 7, 8]",4,0.4,0.4,"{4: 1.0, 1: 1.0, 7: 1.0, 8: 1.0}",,,
1753383438.1555161,3,10,"[4, 2, 6, 3]",4,0.4,0.4,"{4: 1.0, 2: 1.0, 6: 1.0, 3: 1.0}",,,
1753383467.3928423,4,10,"[4, 5, 7, 6]",4,0.4,0.4,"{4: 1.0, 5: 1.0, 7: 1.0, 6: 1.0}",,,
1753383494.3873882,5,10,"[8, 7, 3, 5]",4,0.4,0.4,"{8: 1.0, 7: 1.0, 3: 1.0, 5: 1.0}",,,
1753383502.2979686,6,10,"[4, 5, 6, 8]",4,0.4,0.4,"{4: 1.0, 5: 1.0, 6: 1.0, 8: 1.0}",,,
1753383510.1782706,7,10,"[8, 3, 1, 0]",4,0.4,0.4,"{8: 1.0, 3: 1.0, 1: 1.0, 0: 1.0}",,,
1753383518.028991,8,10,"[3, 4, 6, 1]",4,0.4,0.4,"{3: 1.0, 4: 1.0, 6: 1.0, 1: 1.0}",,,
1753383524.5535152,9,10,"[0, 1, 4, 9]",4,0.4,0.4,"{0: 1.0, 1: 1.0, 4: 1.0, 9: 1.0}",,,
1753383548.1550374,10,10,"[0, 3, 5, 6]",4,0.4,0.4,"{0: 1.0, 3: 1.0, 5: 1.0, 6: 1.0}",,,
