node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,128,PIPEDA,8,512,tier1_hospital,0.954,standard,20000
1,clinic_001,2000,tier_2,64,local,8,64,tier2_hospital,0.911,critical,10000
2,research_center_002,5000,tier_3,64,HIPAA,8,1024,research_center,0.981,high,50000
3,mobile_unit_003,500,tier_1,16,HIPAA,2,64,mobile_unit,0.755,standard,5000
4,edge_device_004,500,tier_2,2,PIPEDA,0,32,edge_device,0.894,critical,500
5,hospital_005,5000,tier_1,32,local,4,512,tier1_hospital,0.955,high,10000
6,clinic_006,2000,tier_2,32,GDPR,4,256,tier2_hospital,0.957,high,10000
7,research_center_007,10000,tier_3,64,GDPR,8,256,research_center,0.998,critical,100000
8,mobile_unit_008,1000,tier_1,16,GDPR,1,32,mobile_unit,0.812,high,1000
9,edge_device_009,500,tier_2,8,local,0,8,edge_device,0.823,high,2000
