node_id,city,country,latitude,longitude,region,timezone
0,Rochester,USA,44.056465,-92.500451,north_america,America/Chicago
1,Baltimore,USA,39.28668,-76.61613,europe,America/New_York
2,Palo Alto,USA,37.409669,-122.18414,asia_pacific,America/Los_Angeles
3,Boston,USA,42.353956,-71.066477,south_america,America/New_York
4,Los Angeles,USA,34.092667,-118.24746,africa,America/Los_Angeles
5,London,UK,51.543378,-0.163196,north_america,Europe/London
6,Paris,France,48.839797,2.374022,europe,Europe/Paris
7,Tokyo,Japan,35.678723,139.65776,asia_pacific,Asia/Tokyo
8,Singapore,Singapore,1.402021,103.83877,south_america,Asia/Singapore
9,Sydney,Australia,-33.825934,151.219946,africa,Australia/Sydney
10,Rochester,USA,44.037206,-92.436152,north_america,America/Chicago
11,Baltimore,USA,39.302495,-76.656206,europe,America/New_York
12,Palo Alto,USA,37.462934,-122.170616,asia_pacific,America/Los_Angeles
13,Boston,USA,42.362256,-71.057566,south_america,America/New_York
14,Los Angeles,USA,34.056989,-118.256241,africa,America/Los_Angeles
15,London,UK,51.544789,-0.1079,north_america,Europe/London
16,Paris,France,48.863232,2.351349,europe,Europe/Paris
17,Tokyo,Japan,35.639776,139.6634,asia_pacific,Asia/Tokyo
18,Singapore,Singapore,1.343062,103.781546,south_america,Asia/Singapore
19,Sydney,Australia,-33.89279,151.186836,africa,Australia/Sydney
20,Rochester,USA,44.031092,-92.445035,north_america,America/Chicago
21,Baltimore,USA,39.29511,-76.660356,europe,America/New_York
22,Palo Alto,USA,37.467971,-122.113137,asia_pacific,America/Los_Angeles
23,Boston,USA,42.336509,-71.068005,south_america,America/New_York
24,Los Angeles,USA,34.073321,-118.265287,africa,America/Los_Angeles
25,London,UK,51.489359,-0.101578,north_america,Europe/London
26,Paris,France,48.827746,2.378976,europe,Europe/Paris
27,Tokyo,Japan,35.716006,139.644814,asia_pacific,Asia/Tokyo
28,Singapore,Singapore,1.357461,103.837498,south_america,Asia/Singapore
29,Sydney,Australia,-33.872679,151.17609,africa,Australia/Sydney
