edge,weight
0-1,5118.05
0-2,421.14
0-3,838.29
0-4,2101.55
0-5,2327.31
0-6,5796.12
0-7,452.36
0-8,111.91
0-9,4897.72
0-10,112.02
0-11,819.85
0-12,5835.64
0-13,101.68
0-14,2215.56
1-2,5839.47
1-3,1942.87
1-4,1007.78
1-5,4047.08
1-6,81.73
1-7,904.62
1-8,924.15
1-9,101.02
1-10,115.9
1-11,4049.22
1-12,952.0
1-13,992.76
1-14,589.37
2-3,92.78
2-4,1071.58
2-5,1788.51
2-6,494.61
2-7,565.93
2-8,5155.41
2-9,80.05
2-10,2235.62
2-11,5400.78
2-12,443.96
2-13,100.82
2-14,2050.52
3-4,1160.81
3-5,116.36
3-6,81.1
3-7,1077.6
3-8,4417.31
3-9,437.55
3-10,581.37
3-11,5616.24
3-12,5892.58
3-13,110.28
3-14,1183.04
4-5,829.27
4-6,5767.19
4-7,2114.9
4-8,1115.9
4-9,100.03
4-10,5634.44
4-11,1887.98
4-12,90.35
4-13,579.34
4-14,1116.09
5-6,4888.57
5-7,520.22
5-8,4286.05
5-9,94.61
5-10,106.58
5-11,2211.28
5-12,119.54
5-13,83.3
5-14,415.35
6-7,559.85
6-8,84.02
6-9,95.25
6-10,586.01
6-11,4088.74
6-12,515.8
6-13,458.29
6-14,1104.64
7-8,1178.05
7-9,111.77
7-10,106.9
7-11,4902.86
7-12,885.71
7-13,80.47
7-14,97.1
8-9,1069.91
8-10,989.1
8-11,417.32
8-12,112.63
8-13,979.07
8-14,5581.92
9-10,82.17
9-11,91.9
9-12,960.45
9-13,98.35
9-14,976.69
10-11,110.96
10-12,850.22
10-13,433.0
10-14,1000.65
11-12,2022.4
11-13,4405.02
11-14,2005.52
12-13,478.9
12-14,116.43
13-14,590.97
