node_id,latitude,longitude
0,44.027669,-92.420545
1,39.265609,-76.602493
2,37.414661,-122.123073
3,42.339366,-71.021415
4,34.0439,-118.204998
5,51.526579,-0.112219
6,48.833969,2.396709
7,35.67606,139.617616
8,1.38093,103.792743
9,-33.883983,151.22034
10,43.997356,-92.514572
11,39.290403,-76.656238
12,37.445681,-122.19109
13,42.336285,-71.073767
14,34.033737,-118.203453
15,51.468012,-0.09487
16,48.844593,2.34205
17,35.677868,139.603694
18,1.382908,103.861198
19,-33.844448,151.205015
