node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,international,SOC2,radiology,1956,mixed,mayo_clinic,tier1_hospital,882
1,regional,SOC2,oncology,1996,private,johns_hopkins,tier2_hospital,1192
2,international,HIPAA_compliant,cardiology,1990,public,stanford_med,research_center,1656
3,regional,HIPAA_compliant,neurology,1964,mixed,mass_general,mobile_unit,4137
4,local,HIPAA_compliant,pathology,1990,public,ucla_health,edge_device,628
5,local,HIPAA_compliant,radiology,2016,public,mayo_clinic,tier1_hospital,4452
6,national,FedRAMP,oncology,1997,public,johns_hopkins,tier2_hospital,4409
7,international,FedRAMP,cardiology,1971,research_grant,stanford_med,research_center,3655
8,local,FedRAMP,neurology,2020,mixed,mass_general,mobile_unit,537
9,regional,SOC2,pathology,1961,mixed,ucla_health,edge_device,191
