node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,64,PIPEDA,4,512,tier1_hospital,1.0,high,50000
1,clinic_001,5000,tier_2,64,local,2,256,tier2_hospital,0.95,standard,5000
2,research_center_002,10000,tier_3,64,PIPEDA,8,256,research_center,0.99,standard,50000
3,mobile_unit_003,1000,tier_1,4,HIPAA,1,64,mobile_unit,0.832,critical,5000
4,edge_device_004,100,tier_2,8,PIPEDA,1,32,edge_device,0.895,high,1000
5,hospital_005,2000,tier_1,32,HIPAA,16,256,tier1_hospital,0.978,standard,10000
6,clinic_006,5000,tier_2,16,PIPEDA,8,128,tier2_hospital,0.924,high,20000
7,research_center_007,10000,tier_3,256,local,32,1024,research_center,0.987,high,50000
8,mobile_unit_008,100,tier_1,4,local,2,64,mobile_unit,0.853,standard,2000
9,edge_device_009,500,tier_2,8,PIPEDA,0,32,edge_device,0.864,standard,500
10,hospital_010,2000,tier_1,32,GDPR,4,512,tier1_hospital,0.994,high,10000
11,clinic_011,1000,tier_2,16,local,2,128,tier2_hospital,0.958,critical,20000
12,research_center_012,20000,tier_3,128,HIPAA,32,512,research_center,0.992,critical,50000
13,mobile_unit_013,100,tier_1,16,HIPAA,1,16,mobile_unit,0.894,critical,5000
14,edge_device_014,500,tier_2,2,local,1,16,edge_device,0.853,standard,1000
15,hospital_015,5000,tier_1,128,GDPR,16,512,tier1_hospital,0.974,high,50000
16,clinic_016,1000,tier_2,16,HIPAA,8,64,tier2_hospital,0.969,standard,20000
17,research_center_017,20000,tier_3,128,local,16,1024,research_center,0.996,high,50000
18,mobile_unit_018,100,tier_1,16,HIPAA,2,16,mobile_unit,0.78,critical,1000
19,edge_device_019,100,tier_2,4,local,1,16,edge_device,0.853,critical,500
