edge,weight
0-1,5571.34
0-2,551.72
0-3,97.72
0-4,5666.85
0-5,119.05
0-6,451.87
0-7,89.05
0-8,5800.33
0-9,111.27
0-10,1072.44
0-11,529.0
0-12,1175.35
0-13,483.45
0-14,5840.06
1-2,1994.54
1-3,5113.59
1-4,1196.07
1-5,864.59
1-6,2223.28
1-7,424.37
1-8,1801.86
1-9,2285.14
1-10,876.58
1-11,2366.43
1-12,985.78
1-13,4301.68
1-14,1078.86
2-3,5496.52
2-4,91.45
2-5,106.46
2-6,1771.89
2-7,474.97
2-8,4405.02
2-9,2289.41
2-10,4705.96
2-11,988.18
2-12,92.65
2-13,519.03
2-14,117.99
3-4,533.26
3-5,935.41
3-6,571.89
3-7,846.21
3-8,109.23
3-9,4513.24
3-10,2202.34
3-11,103.12
3-12,87.58
3-13,2373.18
3-14,427.32
4-5,530.7
4-6,4842.76
4-7,1676.08
4-8,434.14
4-9,89.18
4-10,4139.45
4-11,496.1
4-12,2074.14
4-13,450.94
4-14,1879.92
5-6,1869.72
5-7,5748.07
5-8,540.67
5-9,4972.89
5-10,94.69
5-11,576.77
5-12,433.97
5-13,5867.0
5-14,1075.69
6-7,4251.01
6-8,481.38
6-9,5961.5
6-10,4501.73
6-11,405.64
6-12,434.84
6-13,563.1
6-14,450.84
7-8,1942.01
7-9,116.85
7-10,1101.82
7-11,2296.67
7-12,901.97
7-13,88.82
7-14,96.62
8-9,2328.26
8-10,596.04
8-11,114.34
8-12,118.21
8-13,2086.87
8-14,2163.29
9-10,1769.8
9-11,106.78
9-12,819.44
9-13,1135.41
9-14,597.27
10-11,975.39
10-12,411.02
10-13,1684.7
10-14,968.67
11-12,989.32
11-13,1172.14
11-14,5681.66
12-13,536.92
12-14,1646.13
13-14,1683.04
