edge,weight
0-1,589.08
0-2,101.44
0-3,2145.44
0-4,4869.52
0-5,111.79
0-6,1070.11
0-7,501.16
0-8,1150.28
0-9,929.39
0-10,2178.79
0-11,4118.52
0-12,4096.62
0-13,400.4
0-14,110.46
1-2,1779.19
1-3,594.4
1-4,942.45
1-5,4095.21
1-6,916.99
1-7,96.52
1-8,4738.58
1-9,1181.34
1-10,106.66
1-11,470.57
1-12,434.24
1-13,510.21
1-14,1629.25
2-3,502.7
2-4,87.82
2-5,4232.65
2-6,99.35
2-7,1034.63
2-8,5261.32
2-9,467.77
2-10,473.03
2-11,2279.23
2-12,578.3
2-13,94.78
2-14,5112.6
3-4,90.77
3-5,982.44
3-6,881.6
3-7,5775.69
3-8,859.42
3-9,2194.15
3-10,547.26
3-11,1757.31
3-12,1012.13
3-13,1051.25
3-14,4215.77
4-5,922.75
4-6,5842.32
4-7,2274.26
4-8,5934.54
4-9,1050.84
4-10,105.72
4-11,113.88
4-12,1094.99
4-13,108.98
4-14,474.37
5-6,5786.83
5-7,84.56
5-8,110.62
5-9,404.94
5-10,5729.28
5-11,5241.64
5-12,467.49
5-13,1828.28
5-14,574.85
6-7,4754.32
6-8,85.12
6-9,84.41
6-10,927.46
6-11,80.89
6-12,5404.77
6-13,437.58
6-14,5676.58
7-8,2113.01
7-9,586.49
7-10,1848.11
7-11,4831.65
7-12,496.63
7-13,447.59
7-14,493.68
8-9,1009.13
8-10,501.97
8-11,5270.5
8-12,1151.52
8-13,92.2
8-14,984.44
9-10,82.72
9-11,4636.54
9-12,559.62
9-13,84.44
9-14,536.96
10-11,100.39
10-12,1661.69
10-13,2018.74
10-14,2067.21
11-12,935.89
11-13,933.02
11-14,1172.02
12-13,2149.71
12-14,905.97
13-14,104.4
