node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,128,GDPR,8,512,tier1_hospital,0.984,high,20000
1,clinic_001,5000,tier_2,16,GDPR,2,64,tier2_hospital,0.942,high,20000
2,research_center_002,20000,tier_3,64,local,16,512,research_center,0.982,high,50000
3,mobile_unit_003,100,tier_1,8,GDPR,1,32,mobile_unit,0.871,standard,2000
4,edge_device_004,50,tier_2,2,HIPAA,1,16,edge_device,0.801,standard,2000
5,hospital_005,10000,tier_1,32,PIPEDA,16,128,tier1_hospital,0.984,high,20000
6,clinic_006,1000,tier_2,32,HIPAA,4,256,tier2_hospital,0.94,high,20000
7,research_center_007,10000,tier_3,64,HIPAA,16,256,research_center,0.984,standard,50000
8,mobile_unit_008,1000,tier_1,16,HIPAA,1,64,mobile_unit,0.835,high,1000
9,edge_device_009,500,tier_2,4,PIPEDA,1,32,edge_device,0.76,high,500
10,hospital_010,5000,tier_1,64,HIPAA,4,512,tier1_hospital,0.995,high,50000
11,clinic_011,5000,tier_2,64,local,2,64,tier2_hospital,0.911,high,10000
12,research_center_012,10000,tier_3,256,HIPAA,32,512,research_center,0.997,standard,50000
13,mobile_unit_013,1000,tier_1,16,HIPAA,2,64,mobile_unit,0.781,critical,5000
14,edge_device_014,100,tier_2,2,GDPR,0,16,edge_device,0.883,high,500
