node_id,latitude,longitude
0,43.995395,-92.432875
1,39.267885,-76.579753
2,37.396453,-122.18
3,42.315992,-71.071389
4,34.075587,-118.248014
5,51.556166,-0.089018
6,48.870537,2.307579
7,35.628681,139.605683
8,1.371081,103.775375
9,-33.871669,151.246547
10,43.984989,-92.430616
11,39.32982,-76.640299
12,37.413329,-122.131484
13,42.402817,-71.08933
14,34.026166,-118.245163
15,51.545753,-0.125203
16,48.886198,2.304105
17,35.638716,139.658154
18,1.343225,103.833873
19,-33.910491,151.169652
