node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,64,local,8,256,tier1_hospital,0.963,standard,50000
1,clinic_001,1000,tier_2,32,PIPEDA,4,128,tier2_hospital,0.976,critical,5000
2,research_center_002,5000,tier_3,256,PIPEDA,8,512,research_center,0.998,critical,100000
3,mobile_unit_003,100,tier_1,4,HIPAA,1,32,mobile_unit,0.879,high,2000
4,edge_device_004,50,tier_2,2,HIPAA,0,8,edge_device,0.821,critical,1000
5,hospital_005,2000,tier_1,32,PIPEDA,4,256,tier1_hospital,0.981,critical,50000
6,clinic_006,5000,tier_2,32,PIPEDA,4,64,tier2_hospital,0.905,high,5000
7,research_center_007,5000,tier_3,128,PIPEDA,32,1024,research_center,0.993,critical,100000
8,mobile_unit_008,1000,tier_1,8,GDPR,1,32,mobile_unit,0.755,high,1000
9,edge_device_009,100,tier_2,8,GDPR,0,8,edge_device,0.875,high,2000
10,hospital_010,2000,tier_1,64,GDPR,4,512,tier1_hospital,0.964,high,20000
11,clinic_011,1000,tier_2,32,PIPEDA,4,256,tier2_hospital,0.936,standard,20000
12,research_center_012,5000,tier_3,128,PIPEDA,8,512,research_center,0.985,high,50000
13,mobile_unit_013,500,tier_1,16,HIPAA,2,16,mobile_unit,0.795,critical,2000
14,edge_device_014,100,tier_2,8,PIPEDA,1,8,edge_device,0.886,high,2000
15,hospital_015,10000,tier_1,128,local,16,128,tier1_hospital,0.967,critical,10000
16,clinic_016,5000,tier_2,32,local,8,64,tier2_hospital,0.944,critical,20000
17,research_center_017,5000,tier_3,128,GDPR,8,512,research_center,0.986,critical,50000
18,mobile_unit_018,500,tier_1,4,HIPAA,1,32,mobile_unit,0.842,standard,5000
19,edge_device_019,500,tier_2,8,local,1,16,edge_device,0.834,critical,2000
