node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,128,HIPAA,4,512,tier1_hospital,0.961,standard,20000
1,clinic_001,5000,tier_2,64,GDPR,2,64,tier2_hospital,0.967,standard,20000
2,research_center_002,20000,tier_3,128,HIPAA,32,1024,research_center,0.998,standard,100000
3,mobile_unit_003,100,tier_1,4,HIPAA,2,64,mobile_unit,0.79,critical,5000
4,edge_device_004,100,tier_2,8,local,0,32,edge_device,0.741,standard,500
5,hospital_005,5000,tier_1,32,GDPR,8,128,tier1_hospital,0.977,high,10000
6,clinic_006,2000,tier_2,32,local,2,128,tier2_hospital,0.958,high,20000
7,research_center_007,10000,tier_3,256,GDPR,16,256,research_center,0.998,standard,20000
8,mobile_unit_008,500,tier_1,8,local,2,32,mobile_unit,0.769,high,5000
9,edge_device_009,100,tier_2,2,GDPR,0,8,edge_device,0.729,high,2000
