edge,weight
0-1,812.08
0-2,816.76
0-3,90.31
0-4,1760.94
0-5,5745.43
0-6,5163.37
0-7,1766.84
0-8,81.48
0-9,958.6
1-2,4495.18
1-3,405.78
1-4,2119.91
1-5,2001.64
1-6,1079.13
1-7,97.57
1-8,466.55
1-9,84.67
2-3,517.89
2-4,429.93
2-5,513.37
2-6,407.58
2-7,93.67
2-8,460.52
2-9,1738.81
3-4,2365.7
3-5,1181.29
3-6,2166.04
3-7,586.88
3-8,113.88
3-9,579.25
4-5,539.38
4-6,557.92
4-7,95.04
4-8,114.95
4-9,1856.98
5-6,2307.58
5-7,5157.85
5-8,450.78
5-9,926.25
6-7,4532.38
6-8,540.96
6-9,1017.64
7-8,1193.71
7-9,587.53
8-9,997.95
