edge,weight
0-1,1772.81
0-2,1005.4
0-3,1075.66
0-4,467.13
0-5,432.94
0-6,1078.62
0-7,1980.4
0-8,1003.5
0-9,419.87
1-2,1748.77
1-3,422.91
1-4,119.86
1-5,966.74
1-6,1982.59
1-7,465.78
1-8,879.37
1-9,968.14
2-3,103.14
2-4,109.89
2-5,101.74
2-6,2279.09
2-7,4379.28
2-8,429.4
2-9,2227.83
3-4,108.28
3-5,109.75
3-6,96.06
3-7,1819.37
3-8,589.25
3-9,5098.13
4-5,1628.94
4-6,4879.41
4-7,980.78
4-8,5162.58
4-9,95.24
5-6,490.15
5-7,5266.15
5-8,4456.94
5-9,2160.46
6-7,4181.93
6-8,2146.64
6-9,1111.9
7-8,898.32
7-9,102.93
8-9,2047.42
