node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,32,local,16,128,tier1_hospital,0.969,standard,10000
1,clinic_001,5000,tier_2,16,HIPAA,2,64,tier2_hospital,0.951,high,10000
2,research_center_002,20000,tier_3,64,PIPEDA,16,1024,research_center,0.991,standard,50000
3,mobile_unit_003,500,tier_1,8,local,1,32,mobile_unit,0.851,high,5000
4,edge_device_004,50,tier_2,4,GDPR,1,8,edge_device,0.861,critical,1000
5,hospital_005,10000,tier_1,128,local,4,256,tier1_hospital,0.976,standard,20000
6,clinic_006,5000,tier_2,32,GDPR,4,256,tier2_hospital,0.914,high,5000
7,research_center_007,5000,tier_3,128,local,32,256,research_center,0.988,critical,100000
8,mobile_unit_008,1000,tier_1,8,GDPR,2,16,mobile_unit,0.835,standard,5000
9,edge_device_009,100,tier_2,2,HIPAA,0,8,edge_device,0.765,high,2000
