edge,weight
0-1,113.02
0-2,4467.65
0-3,577.21
0-4,82.05
0-5,118.58
0-6,1921.33
0-7,417.68
0-8,5789.84
0-9,1047.77
0-10,911.32
0-11,1876.63
0-12,988.48
0-13,2080.97
0-14,118.8
1-2,2044.43
1-3,105.25
1-4,1087.86
1-5,116.56
1-6,94.41
1-7,4334.97
1-8,2166.67
1-9,439.45
1-10,5388.35
1-11,98.78
1-12,431.9
1-13,4752.66
1-14,85.29
2-3,1882.8
2-4,105.9
2-5,2211.74
2-6,1609.85
2-7,2220.11
2-8,4222.31
2-9,826.83
2-10,5272.16
2-11,86.94
2-12,1019.64
2-13,583.39
2-14,2095.59
3-4,519.31
3-5,519.18
3-6,5304.44
3-7,1048.55
3-8,111.67
3-9,90.95
3-10,513.04
3-11,1870.28
3-12,1003.47
3-13,927.6
3-14,453.17
4-5,5874.31
4-6,983.7
4-7,5069.56
4-8,1907.27
4-9,1076.4
4-10,556.24
4-11,995.66
4-12,4683.93
4-13,97.39
4-14,2236.69
5-6,1998.61
5-7,872.66
5-8,119.15
5-9,84.75
5-10,5494.08
5-11,82.95
5-12,577.31
5-13,2198.7
5-14,5522.64
6-7,2018.1
6-8,1961.55
6-9,4992.45
6-10,422.85
6-11,4405.82
6-12,401.41
6-13,2241.51
6-14,1182.73
7-8,2203.09
7-9,5454.56
7-10,913.82
7-11,4416.67
7-12,1089.23
7-13,101.9
7-14,119.92
8-9,955.88
8-10,1868.49
8-11,5491.38
8-12,973.29
8-13,4208.14
8-14,590.66
9-10,95.68
9-11,482.64
9-12,84.72
9-13,5106.16
9-14,1613.02
10-11,5020.04
10-12,806.2
10-13,414.67
10-14,4589.82
11-12,883.29
11-13,1021.56
11-14,421.92
12-13,108.11
12-14,832.92
13-14,949.09
