edge,weight
0-1,4605.32
0-2,115.42
0-3,933.17
0-4,1069.82
0-5,829.9
0-6,890.84
0-7,2280.42
0-8,1832.01
0-9,838.2
0-10,103.2
0-11,92.33
0-12,101.02
0-13,99.76
0-14,459.45
1-2,99.92
1-3,96.91
1-4,101.37
1-5,413.09
1-6,999.65
1-7,4866.46
1-8,1149.93
1-9,98.25
1-10,1771.98
1-11,553.07
1-12,1190.38
1-13,84.97
1-14,1106.03
2-3,115.25
2-4,4172.46
2-5,1950.76
2-6,1063.85
2-7,115.54
2-8,115.19
2-9,5747.24
2-10,1021.28
2-11,84.78
2-12,113.57
2-13,5742.31
2-14,2290.49
3-4,594.93
3-5,93.69
3-6,5402.38
3-7,5154.44
3-8,1090.6
3-9,110.81
3-10,1154.38
3-11,100.02
3-12,5641.58
3-13,1019.98
3-14,97.93
4-5,2010.52
4-6,482.61
4-7,547.04
4-8,1849.04
4-9,4841.69
4-10,1132.02
4-11,1050.12
4-12,911.22
4-13,834.97
4-14,1884.04
5-6,2021.03
5-7,5411.68
5-8,1149.47
5-9,450.59
5-10,5614.06
5-11,5194.85
5-12,5909.67
5-13,1865.6
5-14,846.71
6-7,5902.0
6-8,112.22
6-9,407.57
6-10,88.79
6-11,97.73
6-12,513.27
6-13,117.57
6-14,83.97
7-8,4726.72
7-9,1802.34
7-10,100.47
7-11,460.44
7-12,90.02
7-13,5267.19
7-14,1088.77
8-9,438.9
8-10,5927.64
8-11,4167.79
8-12,455.38
8-13,1012.5
8-14,991.95
9-10,502.14
9-11,2255.44
9-12,2138.99
9-13,4011.73
9-14,5112.67
10-11,804.12
10-12,88.48
10-13,83.7
10-14,529.0
11-12,489.68
11-13,4896.0
11-14,583.18
12-13,1907.99
12-14,1177.68
13-14,2196.73
