edge,weight
0-1,102.24
0-2,4174.46
0-3,4391.97
0-4,839.46
0-5,491.25
0-6,507.94
0-7,2383.49
0-8,598.23
0-9,106.65
1-2,5923.52
1-3,507.97
1-4,891.16
1-5,1197.24
1-6,483.78
1-7,599.62
1-8,84.23
1-9,800.83
2-3,536.35
2-4,485.93
2-5,1652.03
2-6,543.82
2-7,1783.34
2-8,1159.38
2-9,571.52
3-4,1831.02
3-5,992.65
3-6,984.98
3-7,92.12
3-8,99.64
3-9,1979.25
4-5,1045.94
4-6,1909.37
4-7,4307.18
4-8,1987.52
4-9,1739.36
5-6,870.51
5-7,848.67
5-8,4341.79
5-9,1125.6
6-7,80.62
6-8,919.88
6-9,5233.72
7-8,2009.12
7-9,468.21
8-9,2302.11
