node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,128,HIPAA,16,128,tier1_hospital,0.976,critical,20000
1,clinic_001,5000,tier_2,64,local,2,64,tier2_hospital,0.958,standard,5000
2,research_center_002,20000,tier_3,64,PIPEDA,32,512,research_center,0.994,standard,50000
3,mobile_unit_003,100,tier_1,4,GDPR,2,64,mobile_unit,0.824,standard,5000
4,edge_device_004,50,tier_2,8,PIPEDA,1,8,edge_device,0.774,high,2000
5,hospital_005,5000,tier_1,64,local,16,256,tier1_hospital,0.98,high,50000
6,clinic_006,1000,tier_2,32,HIPAA,2,256,tier2_hospital,0.933,critical,10000
7,research_center_007,10000,tier_3,64,HIPAA,16,1024,research_center,0.998,standard,100000
8,mobile_unit_008,1000,tier_1,8,HIPAA,1,16,mobile_unit,0.867,critical,1000
9,edge_device_009,500,tier_2,8,GDPR,1,8,edge_device,0.742,high,2000
10,hospital_010,5000,tier_1,128,GDPR,8,128,tier1_hospital,0.963,high,10000
11,clinic_011,5000,tier_2,64,PIPEDA,4,64,tier2_hospital,0.947,high,10000
12,research_center_012,20000,tier_3,256,local,16,256,research_center,0.989,critical,50000
13,mobile_unit_013,500,tier_1,4,PIPEDA,2,16,mobile_unit,0.77,high,1000
14,edge_device_014,50,tier_2,8,GDPR,1,32,edge_device,0.889,critical,2000
15,hospital_015,5000,tier_1,64,GDPR,8,256,tier1_hospital,0.991,high,10000
16,clinic_016,5000,tier_2,16,GDPR,4,128,tier2_hospital,0.952,high,20000
17,research_center_017,20000,tier_3,64,local,8,512,research_center,0.986,standard,50000
18,mobile_unit_018,1000,tier_1,8,GDPR,1,32,mobile_unit,0.895,high,2000
19,edge_device_019,100,tier_2,8,GDPR,0,16,edge_device,0.728,high,2000
