round_num,node_0,node_1,node_2,node_3,node_4
1,3.246518611907959,3.246518611907959,3.2559256553649902,3.246518611907959,3.246518611907959
2,3.292626142501831,3.244107484817505,3.244032859802246,3.2453365325927734,3.2460577487945557
3,3.252855062484741,3.2697110176086426,3.2449936866760254,3.245389938354492,3.2472786903381348
4,3.2473247051239014,3.2626800537109375,3.243870258331299,3.245306968688965,3.245544195175171
5,3.2480406761169434,3.2497613430023193,3.244889259338379,3.2449967861175537,3.2767844200134277
6,3.2492692470550537,3.2470216751098633,3.245039463043213,3.2479794025421143,3.2701423168182373
7,3.251085042953491,3.2469615936279297,3.246019124984741,3.2518773078918457,3.266080617904663
8,3.2511260509490967,3.247544527053833,3.248224973678589,3.2532670497894287,3.2756495475769043
9,3.2545931339263916,3.2489829063415527,3.2502236366271973,3.257784366607666,3.2613718509674072
10,3.2516372203826904,3.248096227645874,3.2651443481445312,3.2570641040802,3.2563114166259766
