node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,64,GDPR,16,512,tier1_hospital,0.965,standard,10000
1,clinic_001,2000,tier_2,16,GDPR,4,256,tier2_hospital,0.933,critical,10000
2,research_center_002,20000,tier_3,256,GDPR,8,512,research_center,0.99,critical,100000
3,mobile_unit_003,500,tier_1,4,PIPEDA,1,64,mobile_unit,0.881,standard,5000
4,edge_device_004,50,tier_2,2,HIPAA,1,16,edge_device,0.728,critical,1000
5,hospital_005,2000,tier_1,64,GDPR,16,512,tier1_hospital,0.973,standard,10000
6,clinic_006,1000,tier_2,32,HIPAA,4,256,tier2_hospital,0.901,standard,5000
7,research_center_007,10000,tier_3,64,HIPAA,16,256,research_center,0.994,high,50000
8,mobile_unit_008,100,tier_1,8,local,1,64,mobile_unit,0.88,critical,5000
9,edge_device_009,500,tier_2,4,PIPEDA,1,16,edge_device,0.883,critical,500
10,hospital_010,2000,tier_1,32,local,16,512,tier1_hospital,0.967,critical,20000
11,clinic_011,5000,tier_2,64,HIPAA,2,128,tier2_hospital,0.945,critical,5000
12,research_center_012,5000,tier_3,128,GDPR,8,256,research_center,0.984,critical,50000
13,mobile_unit_013,100,tier_1,16,GDPR,2,64,mobile_unit,0.752,critical,2000
14,edge_device_014,50,tier_2,4,local,1,16,edge_device,0.847,critical,1000
15,hospital_015,5000,tier_1,64,local,4,512,tier1_hospital,0.999,critical,50000
16,clinic_016,2000,tier_2,16,GDPR,2,256,tier2_hospital,0.909,high,10000
17,research_center_017,10000,tier_3,256,PIPEDA,8,512,research_center,0.988,high,50000
18,mobile_unit_018,100,tier_1,16,HIPAA,2,16,mobile_unit,0.836,critical,2000
19,edge_device_019,100,tier_2,2,local,1,8,edge_device,0.756,standard,2000
