edge,weight
0-1,108.34
0-2,999.59
0-3,434.73
0-4,878.49
0-5,4582.13
0-6,4553.52
0-7,5633.99
0-8,86.51
0-9,575.98
1-2,1968.84
1-3,2000.81
1-4,1125.81
1-5,1118.13
1-6,114.91
1-7,469.15
1-8,1704.9
1-9,4640.44
2-3,1762.82
2-4,5254.14
2-5,1083.7
2-6,1739.67
2-7,1078.3
2-8,4974.76
2-9,568.94
3-4,427.66
3-5,5661.46
3-6,5386.12
3-7,4660.47
3-8,1047.21
3-9,1173.75
4-5,84.78
4-6,5082.75
4-7,1106.11
4-8,82.11
4-9,957.55
5-6,100.51
5-7,86.26
5-8,4227.14
5-9,5942.53
6-7,1042.16
6-8,5946.23
6-9,112.43
7-8,5563.76
7-9,86.31
8-9,1654.1
