node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,local,SOC2,radiology,1983,private,mayo_clinic,tier1_hospital,2665
1,international,HIPAA_compliant,oncology,1968,private,johns_hopkins,tier2_hospital,571
2,regional,HIPAA_compliant,cardiology,1978,private,stanford_med,research_center,1079
3,international,SOC2,neurology,2017,mixed,mass_general,mobile_unit,3827
4,international,SOC2,pathology,1993,public,ucla_health,edge_device,1124
5,local,HIPAA_compliant,radiology,1955,public,mayo_clinic,tier1_hospital,4803
6,national,ISO27001,oncology,2001,mixed,johns_hopkins,tier2_hospital,2845
7,international,FedRAMP,cardiology,2004,private,stanford_med,research_center,3557
8,national,SOC2,neurology,1954,private,mass_general,mobile_unit,1273
9,international,HIPAA_compliant,pathology,1987,public,ucla_health,edge_device,4781
