edge,weight
0-1,4571.85
0-2,423.38
0-3,484.31
0-4,4145.7
0-5,2392.98
0-6,111.72
0-7,2232.3
0-8,1665.76
0-9,4948.92
0-10,997.94
0-11,1941.48
0-12,592.16
0-13,877.54
0-14,5514.46
1-2,960.92
1-3,1107.42
1-4,5015.88
1-5,104.28
1-6,802.28
1-7,5436.7
1-8,89.08
1-9,89.04
1-10,2273.64
1-11,1167.11
1-12,914.95
1-13,861.37
1-14,85.63
2-3,1148.43
2-4,961.11
2-5,478.7
2-6,97.79
2-7,852.95
2-8,1075.74
2-9,5602.73
2-10,1666.24
2-11,114.88
2-12,1710.72
2-13,827.11
2-14,1912.79
3-4,102.33
3-5,423.65
3-6,1800.3
3-7,5862.2
3-8,2210.72
3-9,5568.94
3-10,1902.02
3-11,119.12
3-12,2058.77
3-13,1609.42
3-14,119.15
4-5,4636.04
4-6,5865.04
4-7,977.87
4-8,565.04
4-9,91.81
4-10,5219.93
4-11,897.67
4-12,549.71
4-13,957.31
4-14,533.49
5-6,4226.05
5-7,1864.66
5-8,90.5
5-9,107.02
5-10,576.22
5-11,481.5
5-12,827.17
5-13,1198.76
5-14,97.03
6-7,1046.79
6-8,499.21
6-9,5052.68
6-10,597.49
6-11,82.84
6-12,595.81
6-13,2156.17
6-14,564.57
7-8,1070.13
7-9,512.29
7-10,1628.85
7-11,5294.94
7-12,4966.09
7-13,5152.38
7-14,2181.41
8-9,92.32
8-10,443.09
8-11,5574.77
8-12,84.01
8-13,5245.17
8-14,1665.66
9-10,5204.5
9-11,2126.65
9-12,502.21
9-13,5467.23
9-14,413.07
10-11,928.29
10-12,5198.12
10-13,4557.02
10-14,2258.13
11-12,4358.76
11-13,492.78
11-14,532.66
12-13,1086.48
12-14,1022.71
13-14,1031.46
