timestamp,round_num,total_clients,sampled_clients,num_sampled_clients,client_sampling_rate,actual_client_rate,data_sampling_rates,total_data_points,sampled_data_points,actual_data_rate
1753358105.0014825,1,10,"[2, 7, 1, 9, 3, 5]",6,0.6,0.6,"{2: 1.0, 7: 1.0, 1: 1.0, 9: 1.0, 3: 1.0, 5: 1.0}",,,
1753358121.7277362,2,10,"[9, 3, 8, 6, 0, 5]",6,0.6,0.6,"{9: 1.0, 3: 1.0, 8: 1.0, 6: 1.0, 0: 1.0, 5: 1.0}",,,
1753358139.2193418,3,10,"[1, 3, 5, 6, 2, 9]",6,0.6,0.6,"{1: 1.0, 3: 1.0, 5: 1.0, 6: 1.0, 2: 1.0, 9: 1.0}",,,
1753358143.728893,4,10,"[5, 1, 0, 7, 8, 6]",6,0.6,0.6,"{5: 1.0, 1: 1.0, 0: 1.0, 7: 1.0, 8: 1.0, 6: 1.0}",,,
1753358149.0934398,5,10,"[6, 5, 0, 1, 4, 9]",6,0.6,0.6,"{6: 1.0, 5: 1.0, 0: 1.0, 1: 1.0, 4: 1.0, 9: 1.0}",,,
1753358163.6545997,6,10,"[9, 3, 2, 0, 6, 4]",6,0.6,0.6,"{9: 1.0, 3: 1.0, 2: 1.0, 0: 1.0, 6: 1.0, 4: 1.0}",,,
1753358167.9447532,7,10,"[3, 1, 5, 9, 4, 8]",6,0.6,0.6,"{3: 1.0, 1: 1.0, 5: 1.0, 9: 1.0, 4: 1.0, 8: 1.0}",,,
1753358173.0594933,8,10,"[2, 9, 0, 3, 1, 6]",6,0.6,0.6,"{2: 1.0, 9: 1.0, 0: 1.0, 3: 1.0, 1: 1.0, 6: 1.0}",,,
1753358177.9950087,9,10,"[6, 0, 9, 5, 3, 7]",6,0.6,0.6,"{6: 1.0, 0: 1.0, 9: 1.0, 5: 1.0, 3: 1.0, 7: 1.0}",,,
1753358182.598445,10,10,"[3, 4, 8, 0, 9, 7]",6,0.6,0.6,"{3: 1.0, 4: 1.0, 8: 1.0, 0: 1.0, 9: 1.0, 7: 1.0}",,,
