node_id,admin_level,certification,city,country,department,established_year,funding_source,institution_name,institution_type,region,staff_count,timezone
0,national,FedRAMP,Rochester,USA,radiology,1967,mixed,mayo_clinic,tier1_hospital,north_america,4280,America/Chicago
1,local,SOC2,Baltimore,USA,oncology,1968,mixed,johns_hopkins,tier2_hospital,europe,1539,America/New_York
2,national,FedRAMP,Palo Alto,USA,cardiology,1956,private,stanford_med,research_center,asia_pacific,3741,America/Los_Angeles
3,international,FedRAMP,Boston,USA,neurology,1984,private,mass_general,mobile_unit,south_america,3575,America/New_York
4,international,SOC2,Los Angeles,USA,pathology,1999,research_grant,ucla_health,edge_device,africa,1350,America/Los_Angeles
5,local,SOC2,London,UK,radiology,2020,research_grant,mayo_clinic,tier1_hospital,north_america,3395,Europe/London
6,regional,FedRAMP,Paris,France,oncology,1966,private,johns_hopkins,tier2_hospital,europe,3632,Europe/Paris
7,regional,ISO27001,Tokyo,Japan,cardiology,2003,mixed,stanford_med,research_center,asia_pacific,1766,Asia/Tokyo
8,international,FedRAMP,Singapore,Singapore,neurology,2007,public,mass_general,mobile_unit,south_america,4558,Asia/Singapore
9,local,ISO27001,Sydney,Australia,pathology,1951,public,ucla_health,edge_device,africa,3984,Australia/Sydney
