edge,weight
0-1,5920.0
0-2,106.46
0-3,518.34
0-4,858.67
0-5,1063.01
0-6,5325.04
0-7,844.01
0-8,1786.54
0-9,497.88
1-2,2188.54
1-3,89.08
1-4,5067.01
1-5,5164.04
1-6,1197.32
1-7,427.68
1-8,1904.68
1-9,114.15
2-3,535.79
2-4,924.44
2-5,4542.27
2-6,1969.87
2-7,583.03
2-8,113.25
2-9,119.56
3-4,1008.44
3-5,1058.69
3-6,110.91
3-7,96.37
3-8,970.26
3-9,911.32
4-5,490.59
4-6,4497.2
4-7,2087.85
4-8,448.9
4-9,111.86
5-6,844.08
5-7,89.61
5-8,1668.49
5-9,2117.94
6-7,1178.31
6-8,473.45
6-9,457.8
7-8,1672.13
7-9,1023.08
8-9,5942.39
