edge,weight
0-1,115.49
0-2,2244.09
0-3,5871.39
0-4,4289.72
0-5,909.83
0-6,90.88
0-7,2123.61
0-8,920.97
0-9,1022.0
1-2,458.37
1-3,2248.21
1-4,119.21
1-5,4131.77
1-6,4963.22
1-7,460.01
1-8,824.72
1-9,4004.45
2-3,469.14
2-4,112.32
2-5,111.16
2-6,442.96
2-7,116.46
2-8,462.3
2-9,81.02
3-4,1041.16
3-5,2116.67
3-6,118.32
3-7,1144.07
3-8,99.69
3-9,113.18
4-5,2066.89
4-6,895.66
4-7,568.98
4-8,1117.75
4-9,108.03
5-6,2367.82
5-7,426.73
5-8,2346.83
5-9,1986.42
6-7,4102.09
6-8,2055.07
6-9,1692.37
7-8,4504.87
7-9,2062.11
8-9,825.84
