node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,128,HIPAA,16,512,tier1_hospital,0.986,high,20000
1,clinic_001,2000,tier_2,64,GDPR,8,256,tier2_hospital,0.904,critical,10000
2,research_center_002,20000,tier_3,256,HIPAA,32,1024,research_center,0.981,high,50000
3,mobile_unit_003,500,tier_1,4,GDPR,2,32,mobile_unit,0.897,standard,2000
4,edge_device_004,100,tier_2,8,HIPAA,0,16,edge_device,0.855,high,500
5,hospital_005,5000,tier_1,64,GDPR,8,256,tier1_hospital,0.986,critical,20000
6,clinic_006,1000,tier_2,32,local,4,256,tier2_hospital,0.945,standard,5000
7,research_center_007,20000,tier_3,128,GDPR,32,1024,research_center,0.981,standard,20000
8,mobile_unit_008,100,tier_1,8,PIPEDA,2,16,mobile_unit,0.825,high,2000
9,edge_device_009,500,tier_2,8,local,1,8,edge_device,0.882,high,1000
10,hospital_010,10000,tier_1,32,GDPR,16,256,tier1_hospital,0.952,critical,10000
11,clinic_011,1000,tier_2,64,HIPAA,4,256,tier2_hospital,0.933,high,10000
12,research_center_012,10000,tier_3,64,HIPAA,32,512,research_center,0.997,critical,50000
13,mobile_unit_013,500,tier_1,16,local,1,32,mobile_unit,0.875,high,2000
14,edge_device_014,100,tier_2,2,GDPR,1,16,edge_device,0.7,critical,2000
15,hospital_015,2000,tier_1,128,PIPEDA,8,128,tier1_hospital,0.959,standard,10000
16,clinic_016,2000,tier_2,32,local,2,256,tier2_hospital,0.904,critical,10000
17,research_center_017,5000,tier_3,128,local,16,512,research_center,1.0,standard,20000
18,mobile_unit_018,100,tier_1,8,GDPR,1,16,mobile_unit,0.8,critical,5000
19,edge_device_019,50,tier_2,8,HIPAA,0,32,edge_device,0.864,critical,1000
