edge,weight
0-1,1822.21
0-2,4989.89
0-3,1073.58
0-4,4499.01
0-5,4101.93
0-6,430.12
0-7,4300.34
0-8,1028.36
0-9,4842.41
0-10,1193.58
0-11,5018.13
0-12,1020.41
0-13,4226.55
0-14,504.26
1-2,102.13
1-3,106.03
1-4,437.03
1-5,532.16
1-6,1143.51
1-7,1839.78
1-8,545.88
1-9,1144.42
1-10,878.99
1-11,119.43
1-12,513.33
1-13,1856.14
1-14,500.96
2-3,4683.74
2-4,939.05
2-5,865.21
2-6,1757.29
2-7,86.99
2-8,5206.9
2-9,4704.7
2-10,489.12
2-11,5129.04
2-12,89.8
2-13,935.85
2-14,5709.29
3-4,410.93
3-5,940.25
3-6,920.03
3-7,982.8
3-8,4230.37
3-9,960.02
3-10,82.36
3-11,963.31
3-12,1625.13
3-13,84.29
3-14,421.35
4-5,446.71
4-6,2194.96
4-7,2399.28
4-8,4102.94
4-9,2235.3
4-10,1659.34
4-11,862.26
4-12,1649.63
4-13,2265.1
4-14,1639.31
5-6,460.15
5-7,87.99
5-8,1625.67
5-9,1096.15
5-10,515.06
5-11,1175.18
5-12,5952.11
5-13,2284.26
5-14,5011.86
6-7,925.1
6-8,101.02
6-9,1750.52
6-10,4776.98
6-11,1698.88
6-12,119.18
6-13,858.59
6-14,4395.02
7-8,93.94
7-9,107.4
7-10,1181.1
7-11,566.23
7-12,902.67
7-13,108.42
7-14,5093.29
8-9,818.24
8-10,113.22
8-11,1162.8
8-12,1683.76
8-13,5201.25
8-14,1671.79
9-10,5214.26
9-11,523.35
9-12,1644.77
9-13,983.4
9-14,1863.08
10-11,406.32
10-12,1096.26
10-13,115.41
10-14,590.06
11-12,92.53
11-13,416.63
11-14,510.85
12-13,2378.65
12-14,2386.2
13-14,87.54
