node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,32,PIPEDA,8,128,tier1_hospital,0.99,standard,10000
1,clinic_001,1000,tier_2,64,local,8,256,tier2_hospital,0.959,critical,10000
2,research_center_002,5000,tier_3,128,GDPR,32,1024,research_center,0.983,critical,50000
3,mobile_unit_003,100,tier_1,8,local,2,32,mobile_unit,0.772,high,2000
4,edge_device_004,500,tier_2,8,local,1,32,edge_device,0.736,high,1000
5,hospital_005,5000,tier_1,128,PIPEDA,4,256,tier1_hospital,0.957,high,20000
6,clinic_006,2000,tier_2,16,GDPR,4,128,tier2_hospital,0.958,critical,10000
7,research_center_007,20000,tier_3,128,PIPEDA,32,1024,research_center,1.0,critical,20000
8,mobile_unit_008,500,tier_1,8,PIPEDA,1,16,mobile_unit,0.789,high,2000
9,edge_device_009,100,tier_2,4,HIPAA,1,8,edge_device,0.89,standard,500
10,hospital_010,5000,tier_1,128,GDPR,16,512,tier1_hospital,0.988,high,10000
11,clinic_011,1000,tier_2,64,PIPEDA,2,128,tier2_hospital,0.956,standard,10000
12,research_center_012,20000,tier_3,64,PIPEDA,8,1024,research_center,0.991,critical,100000
13,mobile_unit_013,1000,tier_1,16,HIPAA,1,16,mobile_unit,0.888,critical,2000
14,edge_device_014,50,tier_2,4,HIPAA,0,16,edge_device,0.827,critical,2000
15,hospital_015,10000,tier_1,32,local,4,256,tier1_hospital,0.952,standard,10000
16,clinic_016,5000,tier_2,64,GDPR,2,256,tier2_hospital,0.931,standard,5000
17,research_center_017,10000,tier_3,64,local,8,1024,research_center,0.985,critical,50000
18,mobile_unit_018,500,tier_1,16,local,1,32,mobile_unit,0.788,standard,2000
19,edge_device_019,500,tier_2,4,GDPR,0,8,edge_device,0.854,critical,1000
20,hospital_020,2000,tier_1,128,local,4,256,tier1_hospital,0.957,high,20000
21,clinic_021,2000,tier_2,16,HIPAA,2,64,tier2_hospital,0.906,high,10000
22,research_center_022,10000,tier_3,256,PIPEDA,32,1024,research_center,0.999,standard,50000
23,mobile_unit_023,500,tier_1,4,HIPAA,2,16,mobile_unit,0.786,standard,5000
24,edge_device_024,500,tier_2,2,PIPEDA,0,8,edge_device,0.744,high,2000
25,hospital_025,5000,tier_1,64,HIPAA,4,256,tier1_hospital,0.967,standard,20000
26,clinic_026,2000,tier_2,16,HIPAA,2,64,tier2_hospital,0.97,high,20000
27,research_center_027,10000,tier_3,64,GDPR,32,512,research_center,0.991,standard,20000
28,mobile_unit_028,500,tier_1,8,local,1,64,mobile_unit,0.83,high,1000
29,edge_device_029,50,tier_2,2,HIPAA,0,16,edge_device,0.743,high,2000
