node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,128,GDPR,4,512,tier1_hospital,0.974,standard,20000
1,clinic_001,2000,tier_2,64,GDPR,2,128,tier2_hospital,0.93,standard,10000
2,research_center_002,10000,tier_3,128,HIPAA,16,512,research_center,0.981,critical,100000
3,mobile_unit_003,100,tier_1,16,PIPEDA,1,32,mobile_unit,0.799,high,1000
4,edge_device_004,500,tier_2,4,PIPEDA,0,32,edge_device,0.733,standard,1000
5,hospital_005,2000,tier_1,128,PIPEDA,16,512,tier1_hospital,0.999,critical,20000
6,clinic_006,2000,tier_2,32,PIPEDA,2,64,tier2_hospital,0.905,standard,20000
7,research_center_007,5000,tier_3,256,local,8,512,research_center,0.98,critical,100000
8,mobile_unit_008,1000,tier_1,8,local,1,64,mobile_unit,0.886,critical,5000
9,edge_device_009,100,tier_2,8,local,0,16,edge_device,0.729,standard,500
10,hospital_010,2000,tier_1,64,PIPEDA,8,128,tier1_hospital,0.998,high,50000
11,clinic_011,5000,tier_2,64,GDPR,8,128,tier2_hospital,0.969,high,5000
12,research_center_012,5000,tier_3,128,local,16,512,research_center,0.983,standard,50000
13,mobile_unit_013,1000,tier_1,4,PIPEDA,2,64,mobile_unit,0.786,standard,1000
14,edge_device_014,500,tier_2,8,PIPEDA,0,32,edge_device,0.723,standard,1000
15,hospital_015,5000,tier_1,64,PIPEDA,16,512,tier1_hospital,0.979,standard,20000
16,clinic_016,1000,tier_2,16,HIPAA,8,128,tier2_hospital,0.948,standard,10000
17,research_center_017,5000,tier_3,256,HIPAA,32,1024,research_center,0.998,high,20000
18,mobile_unit_018,500,tier_1,16,HIPAA,1,64,mobile_unit,0.813,high,2000
19,edge_device_019,500,tier_2,8,PIPEDA,1,32,edge_device,0.883,high,500
