node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,128,PIPEDA,8,512,tier1_hospital,0.986,high,20000
1,clinic_001,5000,tier_2,32,local,2,64,tier2_hospital,0.937,high,10000
2,research_center_002,10000,tier_3,128,local,8,512,research_center,0.988,critical,50000
3,mobile_unit_003,500,tier_1,16,GDPR,2,16,mobile_unit,0.825,high,1000
4,edge_device_004,500,tier_2,2,PIPEDA,1,8,edge_device,0.834,critical,2000
5,hospital_005,10000,tier_1,64,GDPR,4,256,tier1_hospital,0.992,high,10000
6,clinic_006,5000,tier_2,64,GDPR,8,64,tier2_hospital,0.934,standard,20000
7,research_center_007,5000,tier_3,64,HIPAA,32,256,research_center,0.984,standard,20000
8,mobile_unit_008,500,tier_1,8,local,2,16,mobile_unit,0.823,standard,5000
9,edge_device_009,100,tier_2,8,local,1,16,edge_device,0.889,critical,2000
10,hospital_010,2000,tier_1,64,HIPAA,4,128,tier1_hospital,0.979,standard,10000
11,clinic_011,5000,tier_2,64,GDPR,2,64,tier2_hospital,0.942,standard,10000
12,research_center_012,5000,tier_3,64,local,16,512,research_center,0.989,critical,20000
13,mobile_unit_013,1000,tier_1,4,HIPAA,2,64,mobile_unit,0.831,standard,5000
14,edge_device_014,500,tier_2,8,GDPR,1,16,edge_device,0.863,high,1000
