node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,64,GDPR,4,128,tier1_hospital,0.984,critical,50000
1,clinic_001,1000,tier_2,32,local,8,256,tier2_hospital,0.97,critical,5000
2,research_center_002,20000,tier_3,64,GDPR,16,512,research_center,0.983,standard,20000
3,mobile_unit_003,100,tier_1,8,local,1,16,mobile_unit,0.832,standard,1000
4,edge_device_004,500,tier_2,8,GDPR,0,32,edge_device,0.734,high,1000
5,hospital_005,10000,tier_1,128,local,16,512,tier1_hospital,0.977,high,50000
6,clinic_006,1000,tier_2,32,local,4,128,tier2_hospital,0.903,high,10000
7,research_center_007,5000,tier_3,256,GDPR,16,1024,research_center,0.983,critical,50000
8,mobile_unit_008,500,tier_1,16,local,2,64,mobile_unit,0.783,critical,1000
9,edge_device_009,100,tier_2,8,GDPR,1,8,edge_device,0.846,high,2000
10,hospital_010,10000,tier_1,128,GDPR,4,512,tier1_hospital,0.997,standard,10000
11,clinic_011,1000,tier_2,16,HIPAA,4,256,tier2_hospital,0.941,critical,10000
12,research_center_012,5000,tier_3,256,PIPEDA,8,1024,research_center,0.982,standard,20000
13,mobile_unit_013,500,tier_1,4,PIPEDA,1,32,mobile_unit,0.822,high,1000
14,edge_device_014,100,tier_2,2,local,0,32,edge_device,0.753,standard,1000
15,hospital_015,2000,tier_1,64,PIPEDA,16,128,tier1_hospital,0.991,standard,50000
16,clinic_016,5000,tier_2,16,HIPAA,2,256,tier2_hospital,0.936,standard,10000
17,research_center_017,20000,tier_3,128,PIPEDA,8,1024,research_center,0.986,standard,100000
18,mobile_unit_018,100,tier_1,4,local,1,16,mobile_unit,0.859,critical,2000
19,edge_device_019,100,tier_2,2,PIPEDA,1,16,edge_device,0.777,standard,500
