node_id,city,country,latitude,longitude,region,timezone
0,Rochester,USA,44.018945,-92.509417,north_america,America/Chicago
1,Baltimore,USA,39.258561,-76.588506,europe,America/New_York
2,Palo Alto,USA,37.455672,-122.159608,asia_pacific,America/Los_Angeles
3,Boston,USA,42.319679,-71.084543,south_america,America/New_York
4,Los Angeles,USA,34.089444,-118.259022,africa,America/Los_Angeles
5,London,UK,51.48013,-0.111971,north_america,Europe/London
6,Paris,France,48.818072,2.315815,europe,Europe/Paris
7,Tokyo,Japan,35.661702,139.684563,asia_pacific,Asia/Tokyo
8,Singapore,Singapore,1.357893,103.800018,south_america,Asia/Singapore
9,Sydney,Australia,-33.906575,151.250436,africa,Australia/Sydney
10,Rochester,USA,43.990143,-92.463316,north_america,America/Chicago
11,Baltimore,USA,39.267534,-76.590074,europe,America/New_York
12,Palo Alto,USA,37.451124,-122.19273,asia_pacific,America/Los_Angeles
13,Boston,USA,42.364877,-71.046663,south_america,America/New_York
14,Los Angeles,USA,34.026451,-118.27085,africa,America/Los_Angeles
15,London,UK,51.468436,-0.160888,north_america,Europe/London
16,Paris,France,48.829612,2.390833,europe,Europe/Paris
17,Tokyo,Japan,35.627859,139.645953,asia_pacific,Asia/Tokyo
18,Singapore,Singapore,1.314988,103.845742,south_america,Asia/Singapore
19,Sydney,Australia,-33.827445,151.171687,africa,Australia/Sydney
20,Rochester,USA,44.042396,-92.471275,north_america,America/Chicago
21,Baltimore,USA,39.269523,-76.63988,europe,America/New_York
22,Palo Alto,USA,37.468109,-122.121716,asia_pacific,America/Los_Angeles
23,Boston,USA,42.345167,-71.085044,south_america,America/New_York
24,Los Angeles,USA,34.048468,-118.241692,africa,America/Los_Angeles
25,London,UK,51.515362,-0.137361,north_america,Europe/London
26,Paris,France,48.87066,2.359009,europe,Europe/Paris
27,Tokyo,Japan,35.686978,139.602991,asia_pacific,Asia/Tokyo
28,Singapore,Singapore,1.312541,103.801574,south_america,Asia/Singapore
29,Sydney,Australia,-33.831189,151.17662,africa,Australia/Sydney
