round_num,node_0,node_1,node_2,node_3,node_4
1,3.072685480117798,3.070873737335205,3.088303565979004,3.1066949367523193,3.11415696144104
2,3.1042871475219727,3.094193935394287,3.0953986644744873,3.0929341316223145,3.091752052307129
3,3.1211254596710205,3.0964672565460205,3.087089776992798,3.1095213890075684,3.1115946769714355
4,3.121171236038208,3.1297476291656494,3.1071743965148926,3.1245038509368896,3.1166117191314697
5,3.109013319015503,3.114786148071289,3.1300387382507324,3.1236963272094727,3.112220525741577
6,3.123443841934204,3.1205875873565674,3.1173624992370605,3.1230380535125732,3.130171537399292
7,3.1304829120635986,3.1236371994018555,3.1211440563201904,3.1337907314300537,3.1415956020355225
8,3.103898286819458,3.1374800205230713,3.125190496444702,3.1423704624176025,3.1327741146087646
9,3.1178700923919678,3.132521390914917,3.1262738704681396,3.121290683746338,3.1462645530700684
10,3.1033620834350586,3.1194961071014404,3.131970167160034,3.1457600593566895,3.1311066150665283
