edge,weight
0-1,4941.29
0-2,101.05
0-3,4626.5
0-4,88.38
0-5,567.38
0-6,866.38
0-7,4635.82
0-8,111.95
0-9,806.92
1-2,1686.9
1-3,103.79
1-4,584.42
1-5,4008.62
1-6,1160.84
1-7,1103.72
1-8,2196.85
1-9,584.33
2-3,1851.91
2-4,1012.82
2-5,88.27
2-6,1141.66
2-7,5550.83
2-8,1934.67
2-9,515.9
3-4,1006.98
3-5,5795.48
3-6,890.75
3-7,103.29
3-8,2136.0
3-9,109.35
4-5,106.8
4-6,2275.21
4-7,1969.91
4-8,114.22
4-9,2086.1
5-6,80.57
5-7,473.42
5-8,4113.17
5-9,98.22
6-7,5147.51
6-8,5748.95
6-9,1048.96
7-8,4313.25
7-9,401.27
8-9,2217.72
