edge,weight
0-1,418.83
0-2,5799.88
0-3,1873.14
0-4,1068.8
0-5,1144.43
0-6,4435.23
0-7,116.92
0-8,5064.17
0-9,915.25
1-2,5949.19
1-3,5506.27
1-4,581.42
1-5,5153.21
1-6,2260.98
1-7,4743.63
1-8,5475.79
1-9,1865.27
2-3,586.14
2-4,2291.16
2-5,4992.13
2-6,87.41
2-7,5552.77
2-8,516.16
2-9,1642.78
3-4,112.83
3-5,506.99
3-6,86.72
3-7,873.32
3-8,1779.59
3-9,1992.25
4-5,5201.28
4-6,2078.04
4-7,1189.52
4-8,500.84
4-9,1772.38
5-6,103.5
5-7,2240.8
5-8,5350.13
5-9,979.48
6-7,581.31
6-8,2002.82
6-9,1016.04
7-8,2208.91
7-9,5443.94
8-9,89.82
