node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,64,HIPAA,4,256,tier1_hospital,0.974,critical,20000
1,clinic_001,5000,tier_2,32,HIPAA,2,64,tier2_hospital,0.953,critical,20000
2,research_center_002,20000,tier_3,256,HIPAA,16,1024,research_center,0.989,critical,100000
3,mobile_unit_003,100,tier_1,4,local,2,32,mobile_unit,0.866,critical,1000
4,edge_device_004,500,tier_2,4,local,0,8,edge_device,0.799,high,1000
5,hospital_005,2000,tier_1,128,PIPEDA,8,512,tier1_hospital,0.99,standard,50000
6,clinic_006,1000,tier_2,16,local,4,64,tier2_hospital,0.934,critical,20000
7,research_center_007,20000,tier_3,128,PIPEDA,8,1024,research_center,0.993,high,20000
8,mobile_unit_008,500,tier_1,4,GDPR,1,32,mobile_unit,0.79,high,1000
9,edge_device_009,500,tier_2,4,HIPAA,1,8,edge_device,0.863,high,2000
