node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,local,ISO27001,radiology,2014,public,mayo_clinic,tier1_hospital,4587
1,local,HIPAA_compliant,oncology,2000,public,johns_hopkins,tier2_hospital,3673
2,international,HIPAA_compliant,cardiology,1984,public,stanford_med,research_center,203
3,regional,SOC2,neurology,1985,private,mass_general,mobile_unit,3338
4,local,FedRAMP,pathology,2009,public,ucla_health,edge_device,642
5,national,FedRAMP,radiology,1996,public,mayo_clinic,tier1_hospital,384
6,international,FedRAMP,oncology,1967,private,johns_hopkins,tier2_hospital,2001
7,international,ISO27001,cardiology,2011,public,stanford_med,research_center,60
8,regional,SOC2,neurology,1990,mixed,mass_general,mobile_unit,4740
9,national,ISO27001,pathology,2008,private,ucla_health,edge_device,375
10,regional,HIPAA_compliant,radiology,1962,private,mayo_clinic,tier1_hospital,987
11,national,ISO27001,oncology,1998,public,johns_hopkins,tier2_hospital,1764
12,local,ISO27001,cardiology,1996,public,stanford_med,research_center,4353
13,regional,ISO27001,neurology,1955,research_grant,mass_general,mobile_unit,2669
14,regional,FedRAMP,pathology,1993,research_grant,ucla_health,edge_device,3223
