edge,weight
0-1,101.19
0-2,1035.38
0-3,1846.32
0-4,1610.17
0-5,958.76
0-6,1199.28
0-7,1099.31
0-8,1664.36
0-9,474.02
0-10,1009.01
0-11,5675.13
0-12,407.35
0-13,466.1
0-14,2217.64
1-2,1115.47
1-3,115.22
1-4,4820.76
1-5,90.23
1-6,103.49
1-7,862.11
1-8,845.09
1-9,89.6
1-10,954.83
1-11,95.18
1-12,1012.27
1-13,932.9
1-14,2103.47
2-3,1742.31
2-4,825.34
2-5,2051.79
2-6,5042.23
2-7,81.59
2-8,440.14
2-9,4808.06
2-10,1866.51
2-11,4140.21
2-12,1198.87
2-13,5674.47
2-14,100.59
3-4,1171.05
3-5,931.4
3-6,4030.98
3-7,2098.72
3-8,114.95
3-9,898.56
3-10,1171.6
3-11,81.84
3-12,545.8
3-13,94.84
3-14,1938.47
4-5,981.19
4-6,872.49
4-7,85.53
4-8,1955.08
4-9,5575.07
4-10,1853.65
4-11,100.34
4-12,2182.71
4-13,415.26
4-14,2110.48
5-6,465.71
5-7,1057.5
5-8,5774.14
5-9,454.94
5-10,4078.15
5-11,100.23
5-12,4710.46
5-13,2306.78
5-14,497.48
6-7,806.65
6-8,545.99
6-9,105.18
6-10,2216.94
6-11,4640.53
6-12,435.19
6-13,521.99
6-14,1611.94
7-8,2253.01
7-9,570.67
7-10,112.63
7-11,112.6
7-12,111.29
7-13,1753.23
7-14,4052.98
8-9,824.19
8-10,1052.62
8-11,831.65
8-12,1969.05
8-13,1140.34
8-14,566.04
9-10,598.43
9-11,5474.95
9-12,1187.26
9-13,87.35
9-14,5128.02
10-11,105.53
10-12,117.27
10-13,1703.97
10-14,1105.61
11-12,4156.54
11-13,4076.89
11-14,5937.42
12-13,2140.96
12-14,5510.64
13-14,432.37
