node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,regional,ISO27001,radiology,1972,private,mayo_clinic,tier1_hospital,298
1,local,FedRAMP,oncology,1997,mixed,johns_hopkins,tier2_hospital,240
2,national,SOC2,cardiology,2007,private,stanford_med,research_center,3525
3,national,HIPAA_compliant,neurology,2010,private,mass_general,mobile_unit,4104
4,regional,SOC2,pathology,2020,private,ucla_health,edge_device,4756
5,local,ISO27001,radiology,1993,mixed,mayo_clinic,tier1_hospital,4130
6,local,SOC2,oncology,1964,private,johns_hopkins,tier2_hospital,1869
7,regional,ISO27001,cardiology,1988,public,stanford_med,research_center,4283
8,local,FedRAMP,neurology,1976,mixed,mass_general,mobile_unit,694
9,international,HIPAA_compliant,pathology,2013,private,ucla_health,edge_device,1880
10,national,FedRAMP,radiology,1951,research_grant,mayo_clinic,tier1_hospital,3263
11,international,FedRAMP,oncology,1960,research_grant,johns_hopkins,tier2_hospital,948
12,national,ISO27001,cardiology,1974,research_grant,stanford_med,research_center,2084
13,local,SOC2,neurology,2016,mixed,mass_general,mobile_unit,2059
14,regional,FedRAMP,pathology,1982,mixed,ucla_health,edge_device,3208
15,regional,ISO27001,radiology,1989,private,mayo_clinic,tier1_hospital,772
16,local,ISO27001,oncology,2018,private,johns_hopkins,tier2_hospital,3992
17,local,FedRAMP,cardiology,1954,mixed,stanford_med,research_center,926
18,regional,HIPAA_compliant,neurology,2012,research_grant,mass_general,mobile_unit,2617
19,regional,SOC2,pathology,1978,private,ucla_health,edge_device,2650
