edge,weight
0-1,4314.6
0-2,4264.65
0-3,94.47
0-4,5681.96
0-5,1188.02
0-6,5454.82
0-7,493.85
0-8,865.79
0-9,4002.9
1-2,1107.99
1-3,506.15
1-4,1189.42
1-5,94.7
1-6,2162.24
1-7,2058.46
1-8,89.05
1-9,481.75
2-3,911.97
2-4,443.69
2-5,1092.12
2-6,5820.12
2-7,510.48
2-8,1714.34
2-9,4095.84
3-4,599.47
3-5,951.31
3-6,880.41
3-7,456.56
3-8,1837.13
3-9,922.12
4-5,4360.17
4-6,1020.04
4-7,815.49
4-8,5690.81
4-9,1684.63
5-6,1056.42
5-7,4840.37
5-8,109.45
5-9,1027.06
6-7,490.47
6-8,5774.21
6-9,106.4
7-8,1020.2
7-9,841.32
8-9,596.97
