node_id,city,country,latitude,longitude,region,timezone
0,Rochester,USA,44.01326,-92.482027,north_america,America/Chicago
1,Baltimore,USA,39.303561,-76.633489,europe,America/New_York
2,Palo Alto,USA,37.449833,-122.153094,asia_pacific,America/Los_Angeles
3,Boston,USA,42.317859,-71.075278,south_america,America/New_York
4,Los Angeles,USA,34.046014,-118.247459,africa,America/Los_Angeles
5,London,UK,51.556585,-0.155176,north_america,Europe/London
6,Paris,France,48.820733,2.326831,europe,Europe/Paris
7,Tokyo,Japan,35.65081,139.685254,asia_pacific,Asia/Tokyo
8,Singapore,Singapore,1.367499,103.847711,south_america,Asia/Singapore
9,Sydney,Australia,-33.898184,151.212429,africa,Australia/Sydney
10,Rochester,USA,44.070682,-92.510648,north_america,America/Chicago
11,Baltimore,USA,39.256519,-76.59708,europe,America/New_York
12,Palo Alto,USA,37.437108,-122.179993,asia_pacific,America/Los_Angeles
13,Boston,USA,42.391032,-71.103584,south_america,America/New_York
14,Los Angeles,USA,34.074591,-118.2271,africa,America/Los_Angeles
