node_id,admin_level,certification,city,country,department,established_year,funding_source,institution_name,institution_type,region,staff_count,timezone
0,international,FedRAMP,Rochester,USA,radiology,2002,private,mayo_clinic,tier1_hospital,north_america,933,America/Chicago
1,national,HIPAA_compliant,Baltimore,USA,oncology,1962,mixed,johns_hopkins,tier2_hospital,europe,2082,America/New_York
2,international,ISO27001,Palo Alto,USA,cardiology,1976,research_grant,stanford_med,research_center,asia_pacific,3514,America/Los_Angeles
3,regional,ISO27001,Boston,USA,neurology,1957,research_grant,mass_general,mobile_unit,south_america,202,America/New_York
4,regional,SOC2,Los Angeles,USA,pathology,1959,research_grant,ucla_health,edge_device,africa,4100,America/Los_Angeles
5,local,ISO27001,London,UK,radiology,2019,private,mayo_clinic,tier1_hospital,north_america,3737,Europe/London
6,regional,ISO27001,Paris,France,oncology,1966,research_grant,johns_hopkins,tier2_hospital,europe,1632,Europe/Paris
7,international,FedRAMP,Tokyo,Japan,cardiology,1956,public,stanford_med,research_center,asia_pacific,822,Asia/Tokyo
8,national,HIPAA_compliant,Singapore,Singapore,neurology,1965,private,mass_general,mobile_unit,south_america,4653,Asia/Singapore
9,national,ISO27001,Sydney,Australia,pathology,1977,public,ucla_health,edge_device,africa,359,Australia/Sydney
