node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,64,GDPR,16,256,tier1_hospital,0.956,high,50000
1,clinic_001,5000,tier_2,64,GDPR,4,128,tier2_hospital,0.921,critical,5000
2,research_center_002,20000,tier_3,256,HIPAA,8,1024,research_center,0.995,critical,50000
3,mobile_unit_003,1000,tier_1,8,PIPEDA,2,16,mobile_unit,0.873,standard,1000
4,edge_device_004,500,tier_2,4,GDPR,1,8,edge_device,0.732,standard,1000
5,hospital_005,5000,tier_1,128,GDPR,16,256,tier1_hospital,1.0,standard,50000
6,clinic_006,5000,tier_2,32,local,8,128,tier2_hospital,0.93,critical,20000
7,research_center_007,10000,tier_3,256,GDPR,32,256,research_center,0.987,high,100000
8,mobile_unit_008,1000,tier_1,4,local,2,32,mobile_unit,0.87,high,2000
9,edge_device_009,100,tier_2,2,GDPR,1,16,edge_device,0.878,critical,500
10,hospital_010,5000,tier_1,32,local,8,128,tier1_hospital,0.996,standard,50000
11,clinic_011,2000,tier_2,32,PIPEDA,4,64,tier2_hospital,0.959,high,5000
12,research_center_012,10000,tier_3,64,GDPR,16,512,research_center,0.988,high,20000
13,mobile_unit_013,1000,tier_1,16,GDPR,2,16,mobile_unit,0.762,critical,5000
14,edge_device_014,100,tier_2,8,GDPR,1,32,edge_device,0.77,standard,1000
15,hospital_015,2000,tier_1,64,GDPR,8,512,tier1_hospital,0.971,critical,20000
16,clinic_016,1000,tier_2,16,GDPR,2,64,tier2_hospital,0.92,high,20000
17,research_center_017,10000,tier_3,256,HIPAA,32,256,research_center,0.998,standard,50000
18,mobile_unit_018,1000,tier_1,16,GDPR,2,32,mobile_unit,0.798,high,5000
19,edge_device_019,500,tier_2,4,local,0,16,edge_device,0.77,standard,1000
20,hospital_020,2000,tier_1,32,GDPR,4,512,tier1_hospital,0.994,critical,50000
21,clinic_021,1000,tier_2,64,GDPR,2,256,tier2_hospital,0.973,high,20000
22,research_center_022,20000,tier_3,128,HIPAA,16,512,research_center,0.992,standard,100000
23,mobile_unit_023,1000,tier_1,16,local,1,16,mobile_unit,0.861,standard,5000
24,edge_device_024,100,tier_2,2,GDPR,1,32,edge_device,0.704,high,1000
25,hospital_025,2000,tier_1,64,GDPR,8,128,tier1_hospital,0.959,high,20000
26,clinic_026,2000,tier_2,64,HIPAA,4,64,tier2_hospital,0.979,standard,10000
27,research_center_027,5000,tier_3,64,GDPR,8,1024,research_center,0.983,critical,50000
28,mobile_unit_028,1000,tier_1,16,HIPAA,1,16,mobile_unit,0.864,standard,2000
29,edge_device_029,100,tier_2,8,local,0,16,edge_device,0.864,critical,2000
