edge,weight
0-1,1018.06
0-2,5806.2
0-3,515.42
0-4,5950.5
0-5,1150.11
0-6,2287.14
0-7,520.6
0-8,455.55
0-9,2305.55
1-2,4492.86
1-3,910.02
1-4,1816.28
1-5,111.43
1-6,1112.53
1-7,5121.26
1-8,1154.52
1-9,494.02
2-3,2159.11
2-4,110.86
2-5,2222.75
2-6,112.89
2-7,2321.65
2-8,1858.08
2-9,571.08
3-4,113.84
3-5,4323.87
3-6,1762.02
3-7,1036.84
3-8,2018.25
3-9,5953.57
4-5,1831.31
4-6,91.57
4-7,1017.84
4-8,1109.2
4-9,1171.09
5-6,2031.15
5-7,1708.3
5-8,800.33
5-9,873.25
6-7,523.83
6-8,2074.37
6-9,1926.9
7-8,516.7
7-9,98.23
8-9,570.13
