node_id,city,country,latitude,longitude,region,timezone
0,Rochester,USA,44.001268,-92.463549,north_america,America/Chicago
1,Baltimore,USA,39.308167,-76.574808,europe,America/New_York
2,Palo Alto,USA,37.484575,-122.17186,asia_pacific,America/Los_Angeles
3,Boston,USA,42.396543,-71.099132,south_america,America/New_York
4,Los Angeles,USA,34.080298,-118.249214,africa,America/Los_Angeles
5,London,UK,51.542466,-0.158624,north_america,Europe/London
6,Paris,France,48.832349,2.338487,europe,Europe/Paris
7,Tokyo,Japan,35.63459,139.609038,asia_pacific,Asia/Tokyo
8,Singapore,Singapore,1.321327,103.781575,south_america,Asia/Singapore
9,Sydney,Australia,-33.85444,151.22479,africa,Australia/Sydney
